trial,accuracy,batch_size,lr,num_epochs,actual_epochs,model_path
0,0.9905220715295596,32,0.0004699834716595207,47,44,models/trials/model_trial_0.pth
1,0.9886893229303032,64,0.0009764291182553101,20,20,models/trials/model_trial_1.pth
2,0.9877991307535215,64,0.006095249527608665,16,16,models/trials/model_trial_2.pth
3,0.9901555218097083,32,0.0003056073689863117,48,35,models/trials/model_trial_3.pth
4,0.9879038592449075,128,0.004502142815170307,18,18,models/trials/model_trial_4.pth
5,0.9861758391370372,32,0.005449896189992634,17,10,models/trials/model_trial_5.pth
6,0.988427501701838,128,0.0019910731153412985,25,24,models/trials/model_trial_6.pth
7,0.9852856469602556,32,0.0039129212170648815,11,9,models/trials/model_trial_7.pth
8,0.9890558726501545,128,0.002842986942354286,23,23,models/trials/model_trial_8.pth
9,0.988427501701838,64,0.002064456510517209,25,25,models/trials/model_trial_9.pth
